,TN,TSCM,TEFF,TPEX,TCM,TEM,TEX,TEMRA
ENSG10010136955.1,0.242947442309837,0.0693106291539666,0,0,0.101320190149573,0.140782534130827,0,0.162878195405142
ENSG10010136964.1,0.0504656883558456,0.133019960032467,0,0,0.172977349467614,0.144525232268119,0,0.197743264856996
ENSG10010136971.1,0.0557119750308161,0.0957816411461549,0,0,0,0,0,0.27967991776249
ENSG10010136972.1,0.0716833802539623,0.0194426041136752,0,0.0949402171791018,0.063659001978345,0.0870775186325342,0.14752711559328,0.0367800329019447
ENSG10010136978.1,0.029366787426726,0,0,0,0,0.135295807226138,0,0
ENSG10010136995.1,0.141346204470727,0.0327866443150325,0,0,0.162159786691366,0.139715446866552,0.102797474882814,0.061534819070703
ENSG10010137005.1,0,0.0933352483794063,0,0.155466638246619,0,0.0341805744009862,0.0955889702022645,0.0498415190487564
ENSG10010137037.1,0.101251599224071,0.171862482538912,0.0637807557165521,0.0804974403267183,0.0553956123718083,0.159382101380659,0.178529730121062,0
ENSG10010137057.1,0.0551931859858857,0.0403815393659812,0,0.130013155385652,0,0.0568959270154336,0,0.110033675779949
ENSG10010137085.1,0.17776258323513,0.140232473657907,0,0.19151216115782,0.272116337714464,0.033323391376481,0.170406765886923,0.117692072101152
ENSG10010137092.1,0.243235934756413,0.217395779915533,0,0,0.437536450847153,0.37910801943765,0.663461104998736,0.514197832565302
ENSG10010137094.1,0,0.0213606777701917,0,0,0.0619459016724438,0.0512877070879226,0,0
